x,y,u,v,p
0.4,0.18,-0.2230201,0.05202137,0.09468473
0.42,0.18,-0.2324036,0.04335629,0.09402037
0.44,0.18,-0.2403116,0.03346508,0.09348655
0.46,0.18,-0.2465999,0.02250485,0.09310663
0.48,0.18,-0.251134,0.01066483,0.09289751
0.5,0.18,-0.2537883,-0.001834232,0.09286813
0.52,0.18,-0.2544471,-0.01474006,0.09301828
0.54,0.18,-0.2530072,-0.02776898,0.09333778
0.56,0.18,-0.2493818,-0.04060629,0.09380636
0.58,0.18,-0.2435076,-0.05290892,0.09439409
0.6,0.18,-0.2353539,-0.0643103,0.09506264
0.62,0.18,-0.224935,-0.07442959,0.09576749
0.64,0.18,-0.2123247,-0.08288643,0.09646083
0.66,0.18,-0.1976705,-0.08932118,0.09709541
0.68,0.18,-0.1812068,-0.09342087,0.09762865
0.7,0.18,-0.1632619,-0.0949491,0.09802686
0.72,0.18,-0.1442574,-0.09377616,0.09826875
0.74,0.18,-0.124696,-0.08990524,0.09834773
0.76,0.18,-0.1051377,-0.08348955,0.0982722
0.78,0.18,-0.08616446,-0.07483585,0.09806389
0.8,0.18,-0.06833795,-0.06439225,0.09775434
0.82,0.18,-0.0521562,-0.05272159,0.09737996
0.84,0.18,-0.03801398,-0.04046411,0.09697703
0.86,0.18,-0.02617388,-0.02829688,0.09657729
0.88,0.18,-0.0167506,-0.0168983,0.09620521
0.9,0.18,-0.009708311,-0.006924151,0.09587713
0.92,0.18,-0.004869421,0.000999744,0.09560241
0.94,0.18,-0.00193046,0.006268201,0.09538601
0.96,0.18,-0.00048098,0.008275832,0.09523144
0.98,0.18,-2.37026E-05,0.006393898,0.09514314
1,0.18,0,0,0.0951226
0,0.2,0,0,0.1053876
0.02,0.2,-0.001885355,0.01110986,0.1050328
0.04,0.2,-0.006754566,0.02145872,0.1046999
0.06,0.2,-0.01387922,0.0307429,0.1044351
0.08,0.2,-0.0226871,0.03902645,0.1041992
0.1,0.2,-0.03280726,0.04653034,0.1039582
0.12,0.2,-0.04402118,0.05348485,0.1036847
0.14,0.2,-0.05620418,0.06004538,0.1033571
